name,url,remote_testing,adaptive_irt,test_type,description
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,True,False,K,SHL assessment for evaluating Apache Pig (New). Test type: K
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,True,False,K,SHL assessment for evaluating Apache Spark (New). Test type: K
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,True,False,K,SHL assessment for evaluating ASP .NET with C# (New). Test type: K
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,True,True,K,SHL assessment for evaluating ASP.NET 4.5. Test type: K
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,True,False,E,SHL assessment for evaluating Assessment and Development Center Exercises. Test type: E
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,True,False,S,SHL assessment for evaluating Automata - Fix (New). Test type: S
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,True,False,S,SHL assessment for evaluating Automata - SQL (New). Test type: S
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,True,False,S,SHL assessment for evaluating Automata (New). Test type: S
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,True,False,S,SHL assessment for evaluating Automata Data Science (New). Test type: S
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,True,False,S,SHL assessment for evaluating Automata Data Science Pro (New). Test type: S
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,True,False,S,SHL assessment for evaluating Automata Front End. Test type: S
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,True,False,S,SHL assessment for evaluating Automata Pro (New). Test type: S
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,True,False,S,SHL assessment for evaluating Automata Selenium. Test type: S
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,True,False,K,SHL assessment for evaluating Automation Anywhere RPA Development (New). Test type: K
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,True,False,K,SHL assessment for evaluating Automotive Engineering (New). Test type: K
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,True,False,K,SHL assessment for evaluating Basic Biology (New). Test type: K
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,True,False,SK,SHL assessment for evaluating Basic Computer Literacy (Windows 10) (New). Test type: SK
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,True,False,K,SHL assessment for evaluating Basic Statistics (New). Test type: K
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,True,False,K,SHL assessment for evaluating Biochemistry (New). Test type: K
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,True,False,K,SHL assessment for evaluating Biotech Lab Techniques (New). Test type: K
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,True,False,K,SHL assessment for evaluating BizTalk (New). Test type: K
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,True,True,K,SHL assessment for evaluating Business Communication (adaptive). Test type: K
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,True,False,K,SHL assessment for evaluating Business Communications. Test type: K
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,True,False,K,SHL assessment for evaluating C Programming (New). Test type: K
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,True,False,K,SHL assessment for evaluating C# Programming (New). Test type: K
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,True,False,K,SHL assessment for evaluating C++ Programming (New). Test type: K
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,True,False,K,SHL assessment for evaluating Cardiology and Diabetes Management (New). Test type: K
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,True,False,K,SHL assessment for evaluating Ceramic Engineering (New). Test type: K
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,True,False,K,SHL assessment for evaluating Chemical Engineering (New). Test type: K
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,True,False,K,SHL assessment for evaluating Cisco AppDynamics (New). Test type: K
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,True,False,K,SHL assessment for evaluating Civil Engineering (New). Test type: K
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,True,False,K,SHL assessment for evaluating Cloud Computing (New). Test type: K
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,True,False,K,SHL assessment for evaluating COBOL Programming (New). Test type: K
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,True,False,K,SHL assessment for evaluating Computer Science (New). Test type: K
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,True,False,S,SHL assessment for evaluating Contact Center Call Simulation (New). Test type: S
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,True,False,S,SHL assessment for evaluating Conversational Multichat Simulation. Test type: S
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,True,False,K,SHL assessment for evaluating Core Java (Advanced Level) (New). Test type: K
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,True,False,K,SHL assessment for evaluating Core Java (Entry Level) (New). Test type: K
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,True,True,KS,SHL assessment for evaluating Count Out The Money. Test type: KS
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,True,False,K,SHL assessment for evaluating CSS3 (New). Test type: K
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,True,False,K,SHL assessment for evaluating Culinary Skills (New). Test type: K
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,True,False,BS,SHL assessment for evaluating Customer Service Phone Simulation. Test type: BS
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,True,False,BPS,SHL assessment for evaluating Customer Service Phone Solution. Test type: BPS
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,True,False,K,SHL assessment for evaluating Cyber Risk (New). Test type: K
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,True,False,S,SHL assessment for evaluating Data Entry (New). Test type: S
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,True,False,K,SHL assessment for evaluating Data Entry Alphanumeric Split Screen - US. Test type: K
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,True,False,K,SHL assessment for evaluating Data Entry Numeric Split Screen - US. Test type: K
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,True,False,K,SHL assessment for evaluating Data Entry Ten Key Split Screen. Test type: K
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,True,False,K,SHL assessment for evaluating Data Science (New). Test type: K
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,True,True,K,SHL assessment for evaluating Data Warehousing Concepts. Test type: K
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,True,False,P,SHL assessment for evaluating Dependability and Safety Instrument (DSI). Test type: P
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,True,False,K,SHL assessment for evaluating Dermatology (New). Test type: K
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,True,False,K,SHL assessment for evaluating Desktop Support (New). Test type: K
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,True,False,K,SHL assessment for evaluating Digital Advertising (New). Test type: K
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,True,False,P,SHL assessment for evaluating Digital Readiness Development Report - IC. Test type: P
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,True,False,P,SHL assessment for evaluating Digital Readiness Development Report - Manager. Test type: P
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,True,False,K,SHL assessment for evaluating Docker (New). Test type: K
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,True,False,K,SHL assessment for evaluating Dojo (New). Test type: K
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,True,False,K,SHL assessment for evaluating Drupal (New). Test type: K
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,True,False,P,SHL assessment for evaluating DSI v1.1 Interpretation Report. Test type: P
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,True,False,K,SHL assessment for evaluating Econometrics (New). Test type: K
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,True,False,K,SHL assessment for evaluating Economics (New). Test type: K
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,True,False,K,SHL assessment for evaluating Electrical and Electronics Engineering (New). Test type: K
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,True,False,K,SHL assessment for evaluating Electrical Engineering (New). Test type: K
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,True,False,K,SHL assessment for evaluating Electronics & Telecommunications Engineering (New). Test type: K
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,True,False,K,SHL assessment for evaluating Electronics and Embedded Systems Engineering (New). Test type: K
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,True,False,K,SHL assessment for evaluating Electronics and Semiconductor Engineering (New). Test type: K
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,True,False,K,SHL assessment for evaluating English Comprehension (New). Test type: K
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,True,False,K,SHL assessment for evaluating Enterprise Java Beans (New). Test type: K
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,True,False,P,SHL assessment for evaluating Enterprise Leadership Report 1.0. Test type: P
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,True,False,P,SHL assessment for evaluating Enterprise Leadership Report 2.0. Test type: P
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,True,False,CP,SHL assessment for evaluating Entry Level Cashier Solution. Test type: CP
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,True,False,PC,SHL assessment for evaluating Entry Level Customer Serv-Retail & Contact Center. Test type: PC
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,True,False,CP,SHL assessment for evaluating Entry Level Customer Service (General) Solution. Test type: CP
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,True,False,CP,SHL assessment for evaluating Entry Level Hotel Front Desk Solution. Test type: CP
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,True,False,CP,SHL assessment for evaluating Entry Level Sales Solution. Test type: CP
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,True,False,PC,SHL assessment for evaluating Entry Level Technical Support Solution. Test type: PC
ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,True,False,K,SHL assessment for evaluating ETL Testing (New). Test type: K
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,True,False,B,SHL assessment for evaluating Executive Scenarios. Test type: B
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,True,False,B,SHL assessment for evaluating Executive Scenarios Narrative Report. Test type: B
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,True,False,B,SHL assessment for evaluating Executive Scenarios Profile Report. Test type: B
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,True,False,K,SHL assessment for evaluating ExpressJS (New). Test type: K
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,True,False,K,SHL assessment for evaluating Filing - Names (R1). Test type: K
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,True,False,K,SHL assessment for evaluating Filing - Numbers. Test type: K
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,True,False,K,SHL assessment for evaluating Financial Accounting (New). Test type: K
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,True,False,K,SHL assessment for evaluating Financial and Banking Services (New). Test type: K
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,True,False,K,SHL assessment for evaluating Fire Engineering (New). Test type: K
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,True,False,K,SHL assessment for evaluating Following Instructions v1 - UK (R1). Test type: K
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,True,False,K,SHL assessment for evaluating Following Instructions v1 - US (R2). Test type: K
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,True,False,K,SHL assessment for evaluating Food and Beverage Services (New). Test type: K
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,True,False,K,SHL assessment for evaluating Food Science (New). Test type: K
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,True,False,K,SHL assessment for evaluating Front Office Management (New). Test type: K
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,True,False,K,SHL assessment for evaluating Fundamentals of Chemistry (New). Test type: K
Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,True,False,K,SHL assessment for evaluating Fundamentals of Physics (New). Test type: K
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,True,False,K,SHL assessment for evaluating General Diseases (New). Test type: K
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,True,False,K,SHL assessment for evaluating Geoinformatics Engineering (New). Test type: K
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,True,False,K,SHL assessment for evaluating Geoscience Engineering (New). Test type: K
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,True,False,K,SHL assessment for evaluating GIT (New). Test type: K
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,True,False,CK,SHL assessment for evaluating Global Skills Assessment. Test type: CK
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,True,False,B,SHL assessment for evaluating Graduate Scenarios. Test type: B
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,True,False,B,SHL assessment for evaluating Graduate Scenarios Narrative Report. Test type: B
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,True,False,B,SHL assessment for evaluating Graduate Scenarios Profile Report. Test type: B
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,True,False,K,SHL assessment for evaluating Hibernate (New). Test type: K
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,True,True,K,SHL assessment for evaluating HIPAA (Security). Test type: K
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,True,False,CP,SHL assessment for evaluating HiPo Assessment Report 1.0. Test type: CP
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,True,False,CP,SHL assessment for evaluating HiPo Assessment Report 2.0. Test type: CP
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,True,False,C,SHL assessment for evaluating HiPo Unlocking Potential Report 2.0. Test type: C
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,True,False,K,SHL assessment for evaluating Housekeeping (New). Test type: K
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,True,False,K,SHL assessment for evaluating HTML/CSS (New). Test type: K
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,True,False,K,SHL assessment for evaluating HTML5 (New). Test type: K
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,True,False,K,SHL assessment for evaluating Human Resources (New). Test type: K
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,True,False,K,SHL assessment for evaluating IBM DataStage (New). Test type: K
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,True,False,K,SHL assessment for evaluating IBM Sterling Order Management System (New). Test type: K
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,True,False,K,SHL assessment for evaluating Industrial Engineering (New). Test type: K
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,True,False,K,SHL assessment for evaluating Informatica (Architecture) (New). Test type: K
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,True,False,K,SHL assessment for evaluating Informatica (Developer) (New). Test type: K
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,True,False,K,SHL assessment for evaluating Instrumentation Engineering (New). Test type: K
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,True,True,K,SHL assessment for evaluating Interpersonal Communications. Test type: K
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,True,True,K,SHL assessment for evaluating Interviewing and Hiring Concepts (U.S.). Test type: K
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,True,False,K,SHL assessment for evaluating iOS Development (New). Test type: K
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,True,False,K,SHL assessment for evaluating ITIL (IT Infrastructure Library) (New). Test type: K
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,True,True,K,SHL assessment for evaluating Java 2 Platform Enterprise Edition 1.4 Fundamental. Test type: K
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,True,False,K,SHL assessment for evaluating Java 8 (New). Test type: K
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,True,False,K,SHL assessment for evaluating Java Design Patterns (New). Test type: K
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,True,False,K,SHL assessment for evaluating Java Frameworks (New). Test type: K
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,True,True,K,SHL assessment for evaluating Java Platform Enterprise Edition 7 (Java EE 7). Test type: K
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,True,False,K,SHL assessment for evaluating Java Web Services (New). Test type: K
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,True,False,K,SHL assessment for evaluating JavaScript (New). Test type: K
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,True,False,K,SHL assessment for evaluating Jenkins (New). Test type: K
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,True,False,K,SHL assessment for evaluating Job Control Language (New). Test type: K
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,True,False,K,SHL assessment for evaluating jQuery (New). Test type: K
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,True,False,K,SHL assessment for evaluating Kubernetes (New). Test type: K
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,True,False,K,SHL assessment for evaluating Linux Administration (New). Test type: K
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,True,False,K,SHL assessment for evaluating Linux Operating System. Test type: K
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,True,True,K,SHL assessment for evaluating Linux Programming (General). Test type: K
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,True,False,K,SHL assessment for evaluating Load Runner (New). Test type: K
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,True,False,B,SHL assessment for evaluating Management Scenarios. Test type: B
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,True,False,B,SHL assessment for evaluating Managerial Scenarios Candidate Report. Test type: B
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,True,False,B,SHL assessment for evaluating Managerial Scenarios Narrative Report. Test type: B
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,True,False,B,SHL assessment for evaluating Managerial Scenarios Profile Report. Test type: B
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,True,False,K,SHL assessment for evaluating Manual Testing (New). Test type: K
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,True,False,AP,SHL assessment for evaluating Manufac. & Indust. - Mechanical & Vigilance 8.0. Test type: AP
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,True,False,P,SHL assessment for evaluating Manufac. & Indust. - Safety & Dependability 8.0. Test type: P
